name,admin,region,inc.lo,inc,inc.hi,prev.lo,prev,prev.hi,plhiv,plhiv.lo,plhiv.hi
Angola,Angola,central,0.92,1.3,1.78,1.5,1.8,2.1,310000,260000,360000
Benin,Benin,west,0.22,0.46,0.91,0.7,1,1.5,69000,46000,100000
Botswana,Botswana,south,6.09,7.28,8.66,20.5,22.2,23.6,370000,330000,400000
Burkina Faso,Burkina Faso,west,0.11,0.17,0.26,0.7,0.8,1,92000,76000,110000
Burundi,Burundi,east,0.11,0.18,0.29,1,1.2,1.4,76000,66000,91000
Cameroon,Cameroon,central,0.79,0.99,1.24,2.8,3.2,3.5,470000,420000,520000
Cape Verde,Cape Verde,west,0.17,0.25,0.42,0.5,0.6,0.8,2400,2000,2900
Central African Republic,Central African Republic,central,1.05,1.78,3.03,3,3.6,4.7,96000,78000,130000
Chad,Chad,central,0.28,0.45,0.69,1,1.2,1.5,110000,85000,130000
Comoros,Comoros,east,0.01,0.01,0.03,0.1,0.1,0.1,200,100,500
Cote d'Ivoire,Ivory Coast,west,0.5,0.75,1.08,2.4,2.7,3.2,400000,350000,460000
Democratic Republic of the Congo,Democratic Republic of the Congo,central,0.17,0.27,0.43,0.6,0.8,1,460000,370000,560000
Djibouti,Djibouti,east,0.06,0.14,0.3,0.7,0.9,1.3,6200,4500,9100
Equatorial Guinea,Equatorial Guinea,central,3.1,5.87,10.75,5.2,7,9.6,62000,46000,85000
Eritrea,Eritrea,east,0.06,0.13,0.27,0.5,0.7,0.9,13000,9500,18000
Ethiopia,Ethiopia,east,0.11,0.21,0.36,0.8,1.1,1.4,630000,480000,790000
Gabon,Gabon,central,0.44,0.94,1.7,2.7,3.6,4.6,48000,36000,62000
Gambia,Gambia,west,1.07,1.63,2.55,1.6,2,2.5,26000,21000,33000
Ghana,Ghana,west,0.47,0.96,1.72,1.2,1.7,2.3,320000,230000,430000
Guinea,Guinea,west,0.42,0.6,0.85,1.2,1.4,1.6,100000,87000,120000
Guinea-Bissau,Guinea Bissau,west,1.29,1.65,2.04,3,3.4,3.9,37000,33000,43000
Kenya,Kenya,east,0.82,1.3,2.09,4.2,4.8,5.6,1400000,1200000,1600000
Lesotho,Lesotho,south,7.83,9.44,11.46,21.5,23.1,25,330000,300000,350000
Liberia,Liberia,west,0.45,0.68,1.06,1.2,1.5,1.9,43000,34000,55000
Madagascar,Madagascar,east,0.23,0.35,0.5,0.2,0.2,0.3,37000,30000,47000
Malawi,Malawi,east,2.77,3.33,3.86,8.8,9.5,10.1,1000000,900000,1100000
Mali,Mali,west,,,,1,1.2,1.5,130000,100000,160000
Mauritania,Mauritania,west,,,,0.2,0.2,0.3,5300,3900,7700
Mauritius,Mauritius,east,0.46,0.69,1.06,0.9,1,1.2,11000,9600,13000
Mozambique,Mozambique,east,4.81,7.97,12.77,9.6,12.1,15.1,2100000,1700000,2600000
Namibia,Namibia,south,3.89,4.84,5.95,11.7,12.7,13.8,200000,180000,210000
Niger,Niger,west,0.06,0.07,0.11,0.2,0.3,0.3,30000,27000,35000
Nigeria,Nigeria,west,0.4,0.69,1.2,1,1.3,1.8,1600000,1200000,2100000
Republic of Congo,Republic of Congo,central,1.16,2.2,4.66,2.3,3.1,4.3,96000,72000,130000
Reunion,,east,,,,,,,,,
Rwanda,Rwanda,east,0.48,0.67,0.93,2.6,2.9,3.1,220000,190000,240000
São Tomé and Principe,Sao Tome and Principe,central,,,,,,,,,
Senegal,Senegal,west,0.09,0.13,0.17,0.4,0.4,0.5,38000,33000,44000
Seychelles,Seychelles,east,,,,,,,,,
Sierra Leone,Sierra Leone,west,0.59,0.82,1.06,1.2,1.5,1.7,69000,58000,78000
Somalia,Somalia,east,0.03,0.04,0.05,0.1,0.1,0.1,9500,7800,11000
South Africa,South Africa,south,4.96,5.54,6.25,15.9,17.3,18.4,7200000,6600000,7700000
South Sudan,South Sudan,east,1.5,2.22,3.14,1.8,2.4,3,180000,140000,220000
Sudan,Sudan,north,0.07,0.12,0.16,0.1,0.2,0.2,42000,35000,52000
Swaziland,Swaziland,south,6.45,8.45,10.74,25.4,27.1,28.8,190000,180000,210000
Tanzania,United Republic of Tanzania,east,2.08,2.37,2.69,4.6,5.1,5.5,1600000,1500000,1700000
Togo,Togo,west,0.54,0.8,1.2,1.9,2.3,2.8,110000,92000,130000
Uganda,Uganda,east,1.88,2.38,3.28,5.7,6.1,6.8,1400000,1300000,1500000
Zambia,Zambia,east,4.47,5.41,6.78,11.3,12.1,13.1,1200000,1100000,1300000
Zimbabwe,Zimbabwe,east,2.99,4.31,5.98,11.8,13.4,15.3,1300000,1100000,1500000
