no,term,hits
1,{Angola/ OR Angola.mp.},3512
2,{Benin/ OR Benin.mp.},9273
3,{Botswana/ OR Botswana.mp.},5809
4,{Burkina Faso/ OR Burkina Faso.mp.},9983
5,{Burundi/ OR Burundi.mp.},2055
6,{Cameroon/ OR Cameroon.mp.},16822
7,{Cape Verde/ OR Cape Verde.mp.},1196
8,{Central African Republic/ OR Central African Republic.mp. OR CAR.ti.},15416
9,{Chad/ OR Chad.mp.},3075
10,{Comoros/ OR Comoros.mp.},995
11,{Democratic Republic of the Congo/ OR Democratic Republic of the Congo.mp. OR DRC.mp.},13737
12,{Djibouti/ OR Djibouti.mp.},959
13,{Equatorial Guinea/ OR Equatorial Guinea.mp.},1131
14,{Eritrea/ OR Eritrea.mp.},1437
15,{Ethiopia/ OR Ethiopia.mp.},35959
16,{Gabon/ OR Gabon.mp.},4500
17,{Gambia/ OR Gambia.mp.},6626
18,{Ghana/ OR Ghana.mp.},25213
19,{Guinea/ OR Guinea.mp.},360920
20,{Guinea-Bissau/ OR Guinea-Bissau.mp.},2625
21,{Cote d'Ivoire/ OR Cote d'Ivoire.mp. OR Ivory Coast.mp.},9730
22,{Kenya/ OR Kenya.mp.},46917
23,{Lesotho/ OR Lesotho.mp.},1649
24,{Liberia/ OR Liberia.mp.},4239
25,{Madagascar/ OR Madagascar.mp.},11386
26,{Malawi/ OR Malawi.mp.},16367
27,{Mali/ OR Mali.mp.},9111
28,{Mauritania/ OR Mauritania.mp.},1573
29,{Mauritius/ OR Mauritius.mp.},2373
30,{Mozambique/ OR Mozambique.mp.},8502
31,{Namibia/ OR Namibia.mp.},3818
32,{Niger/ OR Niger.mp.},35455
33,{Nigeria/ OR Nigeria.mp.},82192
34,{Republic of the Congo/ OR Republic of the Congo.mp. OR Congo-Brazzaville.mp.},13547
35,{Reunion/},1545
36,{Rwanda/ OR Rwanda.mp.},7597
37,{"Sao Tome AND Principe"/ OR "Sao Tome AND Principe".mp.},342
38,{Senegal/ OR Senegal.mp.},16674
39,{Seychelles/ OR Seychelles.mp.},1566
40,{Sierra Leone/ OR Sierra Leone.mp.},5456
41,{Somalia/ OR Somalia.mp.},4667
42,{South Africa/ OR South Africa.mp.},114536
43,{South Sudan/ OR South Sudan.mp.},1193
44,{Sudan/ OR Sudan.mp.},21680
45,{Swaziland/ OR Swaziland.mp. OR Eswatini/ OR Eswatini.mp.},2409
46,{Tanzania/ OR Tanzania.mp.},32442
47,{Togo/ OR Togo.mp.},3749
48,{Uganda/ OR Uganda.mp.},37399
49,{Zambia/ OR Zambia.mp.},13506
50,{Zimbabwe/ OR Zimbabwe.mp.},15755
51,{exp africa south of the sahara/ OR sub-saharan.mp. OR south of the sahara.mp.},482060
52,{OR/ 1-51},982505
