id,bib
964,Abbas2019
803,Abbas2013
184,Abbas2011
1147,Abbas2006
526,Abbas2007
300,Abu-Raddad2014
836,Abu-Raddad2013
496,Abu-Raddad2008
534,Abu-Raddad2008a
455,Abu-Raddad2006
1111,Abuelezam2016
984,Abuelezam2019
972,Akudibillah2018
702,Akudibillah2017
309,Alistar2014
864,Alistar2014a
827,Alsallaq2013
684,Alsallaq2017
46,Alsallaq2009
7,Anderson1992
1051,Anderson1989
273,Anderson2014
1342,Anderson2018a
731,Anderson2017
953,Anderson2018
191,Andersson2011b
482,Andersson2007
174,Andersson2011a
173,Andersson2011
1228,Andrews2012
1378,Andrianakis2017
588,Andrianakis2015
169,Anema2011
863,Armbruster2014
777,Armbruster2012
1264,Arrighi2015
1312,Atun2016
372,Auvert2000
1054,Auvert1990
274,Awad2014
776,Awad2018a
769,Awad2018
691,Awad2017
566,Awad2015
569,Awad2015a
543,Bacaer2008
106,Bacaer2010
652,Barnighausen2016
1324,Balzer2017
1358,Bansi-Matharu2018
225,Bao2012a
102,Bao2010
224,Bao2012
238,Barnighausen2012
457,Baryarama2006
1025,Beacroft2019
1381,Beacroft2019a
581,Bekker2015
147,Bello2011
653,Bendavid2016
1122,Bershteyn2016
959,Bershteyn2018
710,Blaizot2017
662,Blaizot2016
358,Blaizot2015
1121,Blanquart2016
411,Blower2005
514,Boily2008
387,Boily2002
369,Boily2000
1007,Boily2015
868,Boren2014
11,Bos1992
406,Bracher2004
289,Braithwaite2014a
876,Brookmeyer2014
878,Brown2014
258,Cambiano2014
571,Cambiano2015
930,Cambiano2019
900,Carnegie2016
822,Champredon2013
887,Chang2018
83,Chigidi2009
676,Chiu2017
485,Coffee2007
436,Cohen2006
267,Cori2014
970,Cowan2019
157,Cox2011
826,Cremin2013
587,Cremin2015a
714,Cremin2017
563,Cremin2015
1190,Cromer2010
185,Cuadros2011
221,dAlbis2012
942,deBoer2018
700,deBoer2017
1002,deMontigny2018a
958,deMontigny2018
94,deSousa2010
1235,Decker2013
599,Dimitrov2015
1116,Dimitrov2016
1288,Dimitrov2012
595,Eaton2015
716,Eaton2017
1027,Eaton2019
315,Eaton2014a
179,Eaton2011
213,Eaton2012
312,Eaton2014
181,Enns2011a
146,Enns2011
954,Estill2018
564,Ferdinandy2015
1182,Ferrand2009
585,Fraser2015
487,Freeman2007
40,Freeman2009
467,French2006
597,Fryer2015
1062,Garnett1993
1263,Gerberry2014
940,Ghosh2018
1138,Ghys2004
353,Gilbert2015
656,Gilbert2016
951,Glaubius2019
1131,Glaubius2016a
646,Glaubius2016
778,Goodreau2012
37,Granich2009
478,Gray2007
397,Gray2003
29,Gregson1997
18,Gregson1994
21,Gregson1994a
8,Groeneveld1992
931,Guillon2018
988,Haacker2016
1367,Haacker2019
431,Hallett2006
139,Hallett2011
199,Hallett2011a
553,Hallett2009b
1165,Hallett2008a
76,Hallett2009
486,Hallett2007
552,Hallett2009a
533,Hallett2008
1098,Hankins2016
148,Hargrove2011
967,Hauser2019
593,Heaton2015
1118,Heffernan2016
765,Herbeck2018
1296,Herbeck2016
1092,Heuveline2003
498,Hladik2008
101,Hogan2010
1143,Hogan2005
1130,Hontelez2016
781,Hontelez2012
188,Hontelez2011a
820,Hontelez2013
141,Hontelez2011
989,Hontelez2011b
1320,Houben2016
194,Hove-Musekwa2011
1291,Hove-Musekwa2014
